age,sex,scenario,scen,prop,mode,max_walk,max_cycle,purpose,title1
65plus,males,Scenario,all_0_5,0.0039148015929756025,Other,0,5,all,5km ≥ cycling
65plus,males,Scenario,all_0_5,0.07127689436478812,Public transport,0,5,all,5km ≥ cycling
65plus,males,Scenario,all_0_5,0.296698996485221,Walking,0,5,all,5km ≥ cycling
65plus,males,Scenario,commuting_0_5,0.018968782890696336,Cycling,0,5,commuting,5km ≥ cycling
65plus,males,Scenario,commuting_0_5,0.609140524666319,Car,0,5,commuting,5km ≥ cycling
65plus,males,Scenario,commuting_0_5,0.0039148015929756025,Other,0,5,commuting,5km ≥ cycling
65plus,males,Scenario,commuting_0_5,0.07127689436478812,Public transport,0,5,commuting,5km ≥ cycling
65plus,males,Scenario,commuting_0_5,0.296698996485221,Walking,0,5,commuting,5km ≥ cycling
65plus,males,Scenario,all_1_0,0.009363888445903697,Cycling,1,0,all,1km ≥ walking
65plus,males,Scenario,all_1_0,0.5746694526766744,Car,1,0,all,1km ≥ walking
65plus,males,Scenario,all_1_0,0.0039148015929756025,Other,1,0,all,1km ≥ walking
65plus,males,Scenario,all_1_0,0.07127689436478812,Public transport,1,0,all,1km ≥ walking
65plus,males,Scenario,all_1_0,0.3407749629196583,Walking,1,0,all,1km ≥ walking
65plus,males,Scenario,commuting_1_0,0.009363888445903697,Cycling,1,0,commuting,1km ≥ walking
65plus,males,Scenario,commuting_1_0,0.6174721409814097,Car,1,0,commuting,1km ≥ walking
65plus,males,Scenario,commuting_1_0,0.0039148015929756025,Other,1,0,commuting,1km ≥ walking
65plus,males,Scenario,commuting_1_0,0.07127689436478812,Public transport,1,0,commuting,1km ≥ walking
65plus,males,Scenario,commuting_1_0,0.29797227461492287,Walking,1,0,commuting,1km ≥ walking
65plus,males,Scenario,all_1_2,0.115308812506112,Cycling,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,all_1_2,0.468724528616466,Car,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,all_1_2,0.0039148015929756025,Other,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,all_1_2,0.07127689436478812,Public transport,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,all_1_2,0.3407749629196583,Walking,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,commuting_1_2,0.010399595885538258,Cycling,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,commuting_1_2,0.6164364335417751,Car,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,commuting_1_2,0.0039148015929756025,Other,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,commuting_1_2,0.07127689436478812,Public transport,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,commuting_1_2,0.29797227461492287,Walking,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Scenario,all_1_5,0.32217444513464466,Cycling,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,all_1_5,0.2618588959879334,Car,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,all_1_5,0.0039148015929756025,Other,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,all_1_5,0.07127689436478812,Public transport,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,all_1_5,0.3407749629196583,Walking,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_1_5,0.017695504760994497,Cycling,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_1_5,0.609140524666319,Car,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_1_5,0.0039148015929756025,Other,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_1_5,0.07127689436478812,Public transport,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_1_5,0.29797227461492287,Walking,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Scenario,all_2_0,0.009363888445903697,Cycling,2,0,all,2km ≥ walking
65plus,males,Scenario,all_2_0,0.468724528616466,Car,2,0,all,2km ≥ walking
65plus,males,Scenario,all_2_0,0.0039148015929756025,Other,2,0,all,2km ≥ walking
65plus,males,Scenario,all_2_0,0.07127689436478812,Public transport,2,0,all,2km ≥ walking
65plus,males,Scenario,all_2_0,0.4467198869798666,Walking,2,0,all,2km ≥ walking
65plus,males,Scenario,commuting_2_0,0.009363888445903697,Cycling,2,0,commuting,2km ≥ walking
65plus,males,Scenario,commuting_2_0,0.6164364335417751,Car,2,0,commuting,2km ≥ walking
65plus,males,Scenario,commuting_2_0,0.0039148015929756025,Other,2,0,commuting,2km ≥ walking
65plus,males,Scenario,commuting_2_0,0.07127689436478812,Public transport,2,0,commuting,2km ≥ walking
65plus,males,Scenario,commuting_2_0,0.2990079820545574,Walking,2,0,commuting,2km ≥ walking
65plus,males,Scenario,all_2_5,0.21622952107443635,Cycling,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,all_2_5,0.2618588959879334,Car,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,all_2_5,0.0039148015929756025,Other,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,all_2_5,0.07127689436478812,Public transport,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,all_2_5,0.4467198869798666,Walking,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_2_5,0.016659797321359932,Cycling,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_2_5,0.609140524666319,Car,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_2_5,0.0039148015929756025,Other,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_2_5,0.07127689436478812,Public transport,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,commuting_2_5,0.2990079820545574,Walking,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,all_0_2,0.0038677487295926856,Cycling,0,2,all,2km ≥ cycling
65plus,females,Base case,all_0_2,0.6676885183097748,Car,0,2,all,2km ≥ cycling
65plus,females,Base case,all_0_2,9.430862178785228e-4,Other,0,2,all,2km ≥ cycling
65plus,females,Base case,all_0_2,0.05208856027220781,Public transport,0,2,all,2km ≥ cycling
65plus,females,Base case,all_0_2,0.2754120864705461,Walking,0,2,all,2km ≥ cycling
65plus,females,Base case,commuting_0_2,0.0038677487295926856,Cycling,0,2,commuting,2km ≥ cycling
65plus,females,Base case,commuting_0_2,0.6676885183097748,Car,0,2,commuting,2km ≥ cycling
65plus,females,Base case,commuting_0_2,9.430862178785228e-4,Other,0,2,commuting,2km ≥ cycling
65plus,females,Base case,commuting_0_2,0.05208856027220781,Public transport,0,2,commuting,2km ≥ cycling
65plus,females,Base case,commuting_0_2,0.2754120864705461,Walking,0,2,commuting,2km ≥ cycling
65plus,females,Base case,all_0_5,0.0038677487295926856,Cycling,0,5,all,5km ≥ cycling
65plus,females,Base case,all_0_5,0.6676885183097748,Car,0,5,all,5km ≥ cycling
65plus,females,Base case,all_0_5,9.430862178785228e-4,Other,0,5,all,5km ≥ cycling
65plus,females,Base case,all_0_5,0.05208856027220781,Public transport,0,5,all,5km ≥ cycling
65plus,females,Base case,all_0_5,0.2754120864705461,Walking,0,5,all,5km ≥ cycling
65plus,females,Base case,commuting_0_5,0.0038677487295926856,Cycling,0,5,commuting,5km ≥ cycling
65plus,females,Base case,commuting_0_5,0.6676885183097748,Car,0,5,commuting,5km ≥ cycling
65plus,females,Base case,commuting_0_5,9.430862178785228e-4,Other,0,5,commuting,5km ≥ cycling
65plus,females,Base case,commuting_0_5,0.05208856027220781,Public transport,0,5,commuting,5km ≥ cycling
65plus,females,Base case,commuting_0_5,0.2754120864705461,Walking,0,5,commuting,5km ≥ cycling
65plus,females,Base case,all_1_0,0.0038677487295926856,Cycling,1,0,all,1km ≥ walking
65plus,females,Base case,all_1_0,0.6676885183097748,Car,1,0,all,1km ≥ walking
65plus,females,Base case,all_1_0,9.430862178785228e-4,Other,1,0,all,1km ≥ walking
65plus,females,Base case,all_1_0,0.05208856027220781,Public transport,1,0,all,1km ≥ walking
65plus,females,Base case,all_1_0,0.2754120864705461,Walking,1,0,all,1km ≥ walking
65plus,females,Base case,commuting_1_0,0.0038677487295926856,Cycling,1,0,commuting,1km ≥ walking
65plus,females,Base case,commuting_1_0,0.6676885183097748,Car,1,0,commuting,1km ≥ walking
65plus,females,Base case,commuting_1_0,9.430862178785228e-4,Other,1,0,commuting,1km ≥ walking
65plus,females,Base case,commuting_1_0,0.05208856027220781,Public transport,1,0,commuting,1km ≥ walking
65plus,females,Base case,commuting_1_0,0.2754120864705461,Walking,1,0,commuting,1km ≥ walking
65plus,females,Base case,all_1_2,0.0038677487295926856,Cycling,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,all_1_2,0.6676885183097748,Car,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,all_1_2,9.430862178785228e-4,Other,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,all_1_2,0.05208856027220781,Public transport,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,all_1_2,0.2754120864705461,Walking,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,commuting_1_2,0.0038677487295926856,Cycling,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,commuting_1_2,0.6676885183097748,Car,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,commuting_1_2,9.430862178785228e-4,Other,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,commuting_1_2,0.05208856027220781,Public transport,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,commuting_1_2,0.2754120864705461,Walking,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Base case,all_1_5,0.0038677487295926856,Cycling,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,all_1_5,0.6676885183097748,Car,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,all_1_5,9.430862178785228e-4,Other,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,all_1_5,0.05208856027220781,Public transport,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,all_1_5,0.2754120864705461,Walking,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,commuting_1_5,0.0038677487295926856,Cycling,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,commuting_1_5,0.6676885183097748,Car,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,commuting_1_5,9.430862178785228e-4,Other,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,commuting_1_5,0.05208856027220781,Public transport,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,commuting_1_5,0.2754120864705461,Walking,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Base case,all_2_0,0.0038677487295926856,Cycling,2,0,all,2km ≥ walking
65plus,females,Base case,all_2_0,0.6676885183097748,Car,2,0,all,2km ≥ walking
65plus,females,Base case,all_2_0,9.430862178785228e-4,Other,2,0,all,2km ≥ walking
65plus,females,Base case,all_2_0,0.05208856027220781,Public transport,2,0,all,2km ≥ walking
65plus,females,Base case,all_2_0,0.2754120864705461,Walking,2,0,all,2km ≥ walking
65plus,females,Base case,commuting_2_0,0.0038677487295926856,Cycling,2,0,commuting,2km ≥ walking
65plus,females,Base case,commuting_2_0,0.6676885183097748,Car,2,0,commuting,2km ≥ walking
65plus,females,Base case,commuting_2_0,9.430862178785228e-4,Other,2,0,commuting,2km ≥ walking
65plus,females,Base case,commuting_2_0,0.05208856027220781,Public transport,2,0,commuting,2km ≥ walking
65plus,females,Base case,commuting_2_0,0.2754120864705461,Walking,2,0,commuting,2km ≥ walking
65plus,females,Base case,all_2_5,0.0038677487295926856,Cycling,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,all_2_5,0.6676885183097748,Car,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,all_2_5,9.430862178785228e-4,Other,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,all_2_5,0.05208856027220781,Public transport,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,all_2_5,0.2754120864705461,Walking,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,commuting_2_5,0.0038677487295926856,Cycling,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,commuting_2_5,0.6676885183097748,Car,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,commuting_2_5,9.430862178785228e-4,Other,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,commuting_2_5,0.05208856027220781,Public transport,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Base case,commuting_2_5,0.2754120864705461,Walking,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,females,Scenario,all_0_2,0.189728011614542,Cycling,0,2,all,2km ≥ cycling
65plus,females,Scenario,all_0_2,0.48182825542482555,Car,0,2,all,2km ≥ cycling
65plus,females,Scenario,all_0_2,9.430862178785228e-4,Other,0,2,all,2km ≥ cycling
65plus,females,Scenario,all_0_2,0.05208856027220781,Public transport,0,2,all,2km ≥ cycling
65plus,females,Scenario,all_0_2,0.2754120864705461,Walking,0,2,all,2km ≥ cycling
65plus,females,Scenario,commuting_0_2,0.017842963799463988,Cycling,0,2,commuting,2km ≥ cycling
65plus,females,Scenario,commuting_0_2,0.6537133032399035,Car,0,2,commuting,2km ≥ cycling
65plus,females,Scenario,commuting_0_2,9.430862178785228e-4,Other,0,2,commuting,2km ≥ cycling
65plus,females,Scenario,commuting_0_2,0.05208856027220781,Public transport,0,2,commuting,2km ≥ cycling
65plus,females,Scenario,commuting_0_2,0.2754120864705461,Walking,0,2,commuting,2km ≥ cycling
65plus,females,Scenario,all_0_5,0.3794282416256115,Cycling,0,5,all,5km ≥ cycling
65plus,females,Scenario,all_0_5,0.29212802541375604,Car,0,5,all,5km ≥ cycling
65plus,females,Scenario,all_0_5,9.430862178785228e-4,Other,0,5,all,5km ≥ cycling
65plus,females,Scenario,all_0_5,0.05208856027220781,Public transport,0,5,all,5km ≥ cycling
65plus,females,Scenario,all_0_5,0.2754120864705461,Walking,0,5,all,5km ≥ cycling
65plus,females,Scenario,commuting_0_5,0.027511572392581073,Cycling,0,5,commuting,5km ≥ cycling
65plus,females,Scenario,commuting_0_5,0.6440446946467865,Car,0,5,commuting,5km ≥ cycling
65plus,females,Scenario,commuting_0_5,9.430862178785228e-4,Other,0,5,commuting,5km ≥ cycling
65plus,females,Scenario,commuting_0_5,0.05208856027220781,Public transport,0,5,commuting,5km ≥ cycling
65plus,females,Scenario,commuting_0_5,0.2754120864705461,Walking,0,5,commuting,5km ≥ cycling
65plus,females,Scenario,all_1_0,0.0038677487295926856,Cycling,1,0,all,1km ≥ walking
65plus,females,Scenario,all_1_0,0.613471726933093,Car,1,0,all,1km ≥ walking
65plus,females,Scenario,all_1_0,9.430862178785228e-4,Other,1,0,all,1km ≥ walking
65plus,females,Scenario,all_1_0,0.05208856027220781,Public transport,1,0,all,1km ≥ walking
65plus,females,Scenario,all_1_0,0.32962887784722794,Walking,1,0,all,1km ≥ walking
65plus,females,Scenario,commuting_1_0,0.0038677487295926856,Cycling,1,0,commuting,1km ≥ walking
65plus,females,Scenario,commuting_1_0,0.6638261503577778,Car,1,0,commuting,1km ≥ walking
65plus,females,Scenario,commuting_1_0,9.430862178785228e-4,Other,1,0,commuting,1km ≥ walking
65plus,females,Scenario,commuting_1_0,0.05208856027220781,Public transport,1,0,commuting,1km ≥ walking
65plus,females,Scenario,commuting_1_0,0.2792744544225432,Walking,1,0,commuting,1km ≥ walking
65plus,females,Scenario,all_1_2,0.13551122023786014,Cycling,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,all_1_2,0.48182825542482555,Car,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,all_1_2,9.430862178785228e-4,Other,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,all_1_2,0.05208856027220781,Public transport,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,all_1_2,0.32962887784722794,Walking,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,commuting_1_2,0.013980595847466937,Cycling,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,commuting_1_2,0.6537133032399035,Car,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,commuting_1_2,9.430862178785228e-4,Other,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,commuting_1_2,0.05208856027220781,Public transport,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,commuting_1_2,0.2792744544225432,Walking,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,females,Scenario,all_1_5,0.32521145024892967,Cycling,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Scenario,all_1_5,0.29212802541375604,Car,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Scenario,all_1_5,9.430862178785228e-4,Other,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Scenario,all_1_5,0.05208856027220781,Public transport,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,females,Scenario,all_1_5,0.32962887784722794,Walking,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
